componente_curricular,codigo_componente,codigo_turma,campus_turma,local,ano,periodo,data_inicio,data_fim,docentes,descricao_horario,total_solicitacoes,capacidade_aluno,matriculados,tipo,data_consolidacao,situacao_turma,modalidade_educacao
"SEMINÁRIOS EM ZOOTECNIA","PPIZ0001","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","13/02/2023","12/06/2023","LAUDÍ CUNHA LEITE","2T23","4","20","3","REGULAR","13/06/2023","CONSOLIDADA","PRESENCIAL"
"AVICULTURA E AVES DE INTERESSE ZOOTÉCNICO","PPIZ0003","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","13/02/2023","12/06/2023","VITTOR TUZZI ZANCANELA","5M2345","5","20","4","REGULAR","05/07/2023","CONSOLIDADA","PRESENCIAL"
"INTRODUÇÃO, AVALIAÇÃO E MANEJO DE PASTAGENS","PPIZ0007","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","13/02/2023","12/06/2023","BRAULIO MAIA DE LANA SOUSA, OSSIVAL LOLATO RIBEIRO","5T2345","2","20","2","REGULAR","07/06/2023","CONSOLIDADA","PRESENCIAL"
"MICROBIOLOGIA ZOOTÉCNICA","PPIZ0009","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","13/02/2023","12/06/2023","NORMA SUELY EVANGELISTA BARRETO","6M2345","6","20","5","REGULAR","13/06/2023","CONSOLIDADA","PRESENCIAL"
"PESQUISA E PRODUÇÃO DE PEQUENOS RUMINANTES","PPIZ0014","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","13/02/2023","12/06/2023","CARLO ALDROVANDI TORREAO MARQUES, GLADSTON RAFAEL DE ARRUDA SANTOS","4M2345","3","20","3","REGULAR","15/06/2023","CONSOLIDADA","PRESENCIAL"
"PESQUISA E PRODUÇÃO DE SUÍNOS","PPIZ0031","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","13/02/2023","12/06/2023","GREGORIO MURILO DE OLIVEIRA JUNIOR","2M2345","5","20","4","REGULAR","18/07/2023","CONSOLIDADA","PRESENCIAL"
"ENSINO DE HISTÓRIA: HISTÓRIA ORAL E NARRATIVA","PROFHIS0059","TURMA 01","NÃO INFORMADO","2 - 08:00h-12:00 Sala de aula 108B - DID VII","2023","1","06/03/2023","17/06/2023","JOAQUIM TAVARES DA CONCEICAO, PAULO HEIMAR SOUTO, JOÃO PAULO GAMA OLIVEIRA","2M2345","19","25","20","REGULAR","28/06/2023","CONSOLIDADA","PRESENCIAL"
"HISTÓRIA DO ENSINO DE HISTÓRIA","PROFHIS0038","TURMA 01","NÃO INFORMADO","2 - 13:00h-17:00 Sala de aula 108C - DID VII","2023","1","06/03/2023","17/06/2023","FÁBIO ALVES DOS SANTOS","2T1234","16","25","17","REGULAR","04/07/2023","CONSOLIDADA","PRESENCIAL"
"SEMINÁRIO DE PESQUISA","PROFHIS0039","TURMA 01","NÃO INFORMADO","3 - 09:00h-12:00 Sala de aula 104B - DID VII","2023","1","06/03/2023","17/06/2023","JOSE VIEIRA DA CRUZ, LUCAS MIRANDA PINHEIRO","3M345","17","25","18","REGULAR","31/07/2023","CONSOLIDADA","PRESENCIAL"
"TEORIA DA HISTÓRIA","PROFHIS0037","TURMA 01","NÃO INFORMADO","3 - 13:00h-17:00 Sala de aula 301 - DID VII","2023","1","06/03/2023","17/06/2023","ITAMAR FREITAS DE OLIVEIRA","3T1234","21","25","22","REGULAR","19/07/2023","CONSOLIDADA","PRESENCIAL"
"PROCESSOS RADIATIVOS","FISIC0246","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","LUCIANO CASARINI","6T123456","4","10","4","REGULAR","22/07/2023","CONSOLIDADA","PRESENCIAL"
"TEORIA QUÂNTICA I","FISIC0004","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","JOSE JOATAN RODRIGUES JUNIOR, MARIO ERNESTO GIROLDO VALERIO","35M345","21","30","21","REGULAR","01/08/2023","CONSOLIDADA","PRESENCIAL"
"FÍSICA ESTATÍSTICA","FISIC0010","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","JAVIER ERNESTO GONZALEZ SANCHEZ","46T123","15","30","15","REGULAR","31/07/2023","CONSOLIDADA","PRESENCIAL"
"MODELAGEM COMPUTACIONAL QUÂNTICA","FISIC0204","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","ADILMO FRANCISCO DE LIMA","2M2345","1","2","1","REGULAR","26/07/2023","CONSOLIDADA","PRESENCIAL"
"CULTURA, SOCIEDADE E PODER","PROH0020","TURMA 01","NÃO INFORMADO","3 - 13:00h-17:00 Sala de aula 104C - DID VII","2023","1","06/03/2023","17/06/2023","AUGUSTO DA SILVA","3T1234","15","20","14","REGULAR","15/07/2023","CONSOLIDADA","PRESENCIAL"
"TÓPICOS ESPECIAIS EM HISTÓRIA DO NORDESTE","PROH0014","TURMA 01","NÃO INFORMADO","2 - 09:00h-13:00 Sala de aula 108A - DID VII","2023","1","06/03/2023","17/06/2023","CAMILA BARRETO SANTOS AVELINO DORNELLES","2M3456","2","20","2","REGULAR","01/07/2023","CONSOLIDADA","PRESENCIAL"
"TÓPICOS ESPECIAIS EM HISTÓRIA E PODER","PROH0012","TURMA 01","NÃO INFORMADO","5 - 15:00h-19:00 Sala de aula 108C - DID VII","2023","1","06/03/2023","17/06/2023","BRUNO GONCALVES ALVARO, CARLOS DE OLIVEIRA MALAQUIAS","5T3456","6","20","6","REGULAR","30/07/2023","CONSOLIDADA","PRESENCIAL"
"TÓPICOS ESPECIAIS EM HISTÓRIA DA IGREJA, DAS RELIGIÕES E DAS RELIGIOSIDADES","PROH0018","TURMA 01","NÃO INFORMADO","4 - 15:00h-19:00 Sala de aula 104C - DID VII","2023","1","06/03/2023","17/06/2023","MARCOS SILVA","4T3456","2","20","2","REGULAR","14/06/2023","CONSOLIDADA","PRESENCIAL"
"TÓPICOS ESPECIAIS EM HISTÓRIA CULTURAL","PROH0013","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","PABLO ANTÔNIO IGLESIAS MAGALHÃES","3N1234","9","20","8","REGULAR","24/06/2023","CONSOLIDADA","PRESENCIAL"
"VISÃO COMPUTACIONAL","COMPU0026","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","DANIEL OLIVEIRA DANTAS","3M3456","12","50","11","REGULAR","28/07/2023","CONSOLIDADA","PRESENCIAL"
"MÉTODOS E TÉCNICAS DE PESQUISA CIENTÍFICA E TECNOLÓGICA","COMPU0046","TURMA 01","NÃO INFORMADO","3 - 13:00h-17:00 Sala de aula 108C - DID VII","2023","1","06/03/2023","17/06/2023","GILTON JOSÉ FERREIRA DA SILVA","3T1234","15","50","13","REGULAR","29/07/2023","CONSOLIDADA","PRESENCIAL"
"SEMINÁRIOS DE DISSERTAÇÃO","PPGE0007","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","MARCO ANTONIO JORGE","3T34","4","20","4","REGULAR","09/07/2023","CONSOLIDADA","PRESENCIAL"
"TEORIAS DO DESENVOLVIMENTO","PPGE0001","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","RICARDO OLIVEIRA LACERDA DE MELO, FERNANDA ESPERIDIÃO","3T56  3N12","6","20","3","REGULAR","31/07/2023","CONSOLIDADA","PRESENCIAL"
"MÉTODOS EM ECONOMIA REGIONAL E URBANA","PPGE0010","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","ELTON EDUARDO FREITAS, LUIZ CARLOS DE SANTANA RIBEIRO","4M3456","4","20","4","REGULAR","14/08/2023","CONSOLIDADA","PRESENCIAL"
"MÉTODOS MATEMÁTICOS","PPGE0046","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","OLINTO SILVEIRA ALVES FILHO","5M3456","3","20","3","REGULAR","05/07/2023","CONSOLIDADA","PRESENCIAL"
"MACROECONOMIA I","PPGE0004","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","THIAGO HENRIQUE CARNEIRO RIOS LOPES","6M3456","3","20","3","REGULAR","31/07/2023","CONSOLIDADA","PRESENCIAL"
"COLÓQUIO DE DOUTORANDO I","SOCIO0216","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","PERICLES MORAIS DE ANDRADE JUNIOR","3T1234","11","15","11","REGULAR","20/07/2023","CONSOLIDADA","PRESENCIAL"
"EPISTEMOLOGIA E SOCIOLOGIA","SOCIO0140","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","ROGERIO PROENCA DE SOUSA LEITE","3M3456","18","20","16","REGULAR","31/07/2023","CONSOLIDADA","PRESENCIAL"
"QUALIDADE DE SOFTWARE","COMPU0022","TURMA 01","NÃO INFORMADO","4 - 18:00h-22:00 Sala de aula 104A - DID VII","2023","1","06/03/2023","17/06/2023","FÁBIO GOMES ROCHA","4T6  4N123","18","50","17","REGULAR","28/07/2023","CONSOLIDADA","PRESENCIAL"
"TÓPICOS AVANÇADOS EM TEORIAS SOCIOLÓGICAS","SOCIO0164","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","FERNANDA RIOS PETRARCA","5T1234","17","20","17","REGULAR","19/09/2023","CONSOLIDADA","PRESENCIAL"
"METODOLOGIA DA PESQUISA EM EDUCAÇÃO FÍSICA","PPGEF0001","TURMA 01","NÃO INFORMADO","5 - 13:00h-17:00 Sala de aula 103A - DID VII","2023","1","06/03/2023","17/06/2023","RAPHAEL FABRICIO DE SOUZA","5T1234","18","25","18","REGULAR","19/06/2023","CONSOLIDADA","PRESENCIAL"
"ARQUITETURA DE COMPUTADORES","COMPU0002","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","EDWARD DAVID MORENO ORDONEZ","6T1234","5","50","6","REGULAR","19/07/2023","CONSOLIDADA","PRESENCIAL"
"METODOLOGIAS QUANTITATIVAS E QUALITATIVAS","SOCIO0177","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","EDER CLAÚDIO MALTA SOUZA","2T1234","14","20","13","REGULAR","04/08/2023","CONSOLIDADA","PRESENCIAL"
"TÉCNICAS DE COMUNICAÇÃO ESCRITA DA PESQUISA CIENTÍFICA","PPGEF0002","TURMA 01","NÃO INFORMADO","2 - 09:00h-13:00 Sala de aula 103A - DID VII","2023","1","06/03/2023","17/06/2023","ROGERIO BRANDAO WICHI","2M3456","20","25","20","REGULAR","29/07/2023","CONSOLIDADA","PRESENCIAL"
"SEMINÁRIOS ACADÊMICOS SEMANAIS I","COMPU0052","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","LEONARDO NOGUEIRA MATOS","3T56","26","50","26","REGULAR","01/07/2023","CONSOLIDADA","PRESENCIAL"
"TEORIAS SOCIOLÓGICAS","SOCIO0117","TURMA 01","NÃO INFORMADO","5 - 13:00h-17:00 Sala de aula 108A - DID VII","2023","1","06/03/2023","04/06/2023","IVAN FONTES BARBOSA, VILMA SOARES DE LIMA BARBOSA","5T1234","13","20","13","REGULAR","29/07/2024","CONSOLIDADA","PRESENCIAL"
"DOCÊNCIA NO ENSINO SUPERIOR EM EDUCAÇÃO FÍSICA","PPGEF0003","TURMA 01","NÃO INFORMADO","2 - 15:00h-19:00 Sala de aula 103C - DID VII","2023","1","06/03/2023","17/06/2023","AFRANIO DE ANDRADE BASTOS","2T3456","22","25","22","REGULAR","27/07/2023","CONSOLIDADA","PRESENCIAL"
"SOCIOLOGIA DA POLÍTICA","SOCIO0243","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","WILSON JOSE FERREIRA DE OLIVEIRA","4T1234","29","30","24","REGULAR","19/09/2023","CONSOLIDADA","PRESENCIAL"
"SEMINÁRIO DE PESQUISA II","PPGEF0024","TURMA 01","NÃO INFORMADO","5 - 09:00h-11:00 Sala de aula 103C - DID VII","2023","1","06/03/2023","17/06/2023","RICARDO AURELIO CARVALHO SAMPAIO","5M34","25","30","25","REGULAR","02/06/2023","CONSOLIDADA","PRESENCIAL"
"ARGUMENTAÇÃO E APRENDIZAGEM NA EDUCAÇÃO CIENTÍFICA","RENOEN0033","TURMA 01","NÃO INFORMADO","5 - 09:00h-13:00 Sala de aula 108A - DID VII","2023","1","06/03/2023","17/06/2023","DIVANIZIA DO NASCIMENTO SOUZA, ADJANE DA COSTA TOURINHO E SILVA","5M3456","15","25","14","REGULAR","26/07/2023","CONSOLIDADA","PRESENCIAL"
"APRENDIZADO DE MÁQUINA","COMPU0043","TURMA 01","NÃO INFORMADO","4 - 14:00h-18:00 Sala de aula 107B - DID VII","2023","1","06/03/2023","17/06/2023","HENDRIK TEIXEIRA MACEDO","4T2345","16","50","16","REGULAR","28/06/2023","CONSOLIDADA","PRESENCIAL"
"LINGUAGEM, COGNIÇÃO E EMOÇÃO NO ENSINO DE CIÊNCIAS E MATEMÁTICA","RENOEN0022","TURMA 01","NÃO INFORMADO","6 - 09:00h-13:00 Sala de aula 108A - DID VII","2023","1","06/03/2023","17/06/2023","EDSON JOSE WARTHA","6M3456","13","25","12","REGULAR","25/07/2023","CONSOLIDADA","PRESENCIAL"
"METODOLOGIA DA PESQUISA E ENSINO","RENOEN0018","TURMA 01","NÃO INFORMADO","4 - 13:00h-17:00 Sala de aula 202 - DID VII","2023","1","06/03/2023","17/06/2023","ERIVANILDO LOPES DA SILVA","4T1234","16","25","16","REGULAR","05/07/2023","CONSOLIDADA","PRESENCIAL"
"ENSINO E DIVERSIDADE CULTURAL","RENOEN0020","TURMA 01","NÃO INFORMADO","3 - 15:00h-19:00 Sala de aula 103C - DID VII","2023","1","06/03/2023","17/06/2023","GRACIELA DA SILVA OLIVEIRA, ALICE ALEXANDRE PAGAN","3T3456","17","25","16","REGULAR","30/06/2023","CONSOLIDADA","PRESENCIAL"
"PLANEJAMENTO TERRITORIAL","GEOGR0236","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","JOSE ELOIZIO DA COSTA","2M3456","19","40","19","REGULAR","16/07/2023","CONSOLIDADA","PRESENCIAL"
"EPISTEMOLOGIA DA GEOGRAFIA","GEOGR0223","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","ALEXANDRINA LUZ CONCEICAO","4T123456","16","40","16","REGULAR","09/07/2023","CONSOLIDADA","PRESENCIAL"
"SEMINÁRIO DE TEMAS ESPECÍFICOS EM ESTUDOS AGRÁRIOS","GEOGR0218","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","ERALDO DA SILVA RAMOS FILHO","3T34","6","40","6","REGULAR","30/07/2023","CONSOLIDADA","PRESENCIAL"
"SEMINÁRIOS DE TEMAS ESPECÍFICOS EM ESTUDOS REGIONAIS","GEOGR0220","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","JOSEFA DE LISBOA SANTOS","5T34","11","40","11","REGULAR","31/07/2023","CONSOLIDADA","PRESENCIAL"
"SEMINÁRIOS DE TEMAS ESPECÍFICOS EM ESTUDOS AMBIENTAIS","GEOGR0222","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","NEISE MARE DE SOUZA ALVES","4M34","4","40","4","REGULAR","21/06/2023","CONSOLIDADA","PRESENCIAL"
"TÓPICOS ESPECIAIS EM ESTUDOS GEOGRÁFICOS I","GEOGR0226","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","SONIA DE SOUZA MENDONCA MENEZES, JORGEANNY DE FÁTIMA RODRIGUES MOREIRA","3M345","7","40","7","REGULAR","01/06/2023","CONSOLIDADA","PRESENCIAL"
"TEORIA EM GEOGRAFIA AGRÁRIA","GEOGR0217","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","TÂNIA REGINA BRAGA TORREÃO SÁ, SUZANE TOSTA SOUZA, ALEXANDRINA LUZ CONCEICAO","6M23456","6","40","6","REGULAR","09/07/2023","CONSOLIDADA","PRESENCIAL"
"TEORIA EM ANÁLISE REGIONAL","GEOGR0219","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","MARIA AUGUSTA MUNDIM VARGAS, ANA ROCHA DOS SANTOS","5M23456","9","40","8","REGULAR","28/07/2023","CONSOLIDADA","PRESENCIAL"
"TEORIA EM DINÂMICA AMBIENTAL","GEOGR0221","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","HELIO MARIO DE ARAUJO, JOSEFA ELIANE SANTANA DE SIQUEIRA PINTO, ROSEMERI MELO E SOUZA","2T12345","4","40","4","REGULAR","12/06/2023","CONSOLIDADA","PRESENCIAL"
"FÍSICA DAS RADIAÇÕES IONIZANTES","FISIC0184","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","DIVANIZIA DO NASCIMENTO SOUZA","24M34","3","10","3","REGULAR","30/07/2023","CONSOLIDADA","PRESENCIAL"
"TÓPICOS AVANÇADOS I","FARMA0113","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","27/03/2023","01/04/2023","MAIRIM RUSSO SERAFINI","2456M23456 3M3456  2356T3456 4T56  23456N12","30","30","30","REGULAR","04/06/2023","CONSOLIDADA","PRESENCIAL"
"METODOLOGIA DA PESQUISA","FARMA0049","TURMA 01","NÃO INFORMADO","2 - 11:00h-13:00 Sala de aula 104A - DID VII<br />3 - 09:00h-13:00 Sala de aula 104A - DID VII<br />5 - 09:00h-13:00 Sala de aula 104A - DID VII<br />6 - 09:00h-13:00 Sala de aula 104A - DID VII","2023","1","02/05/2023","19/05/2023","DIVALDO PEREIRA DE LYRA JUNIOR","2M56 356M3456","15","17","15","REGULAR","10/06/2023","CONSOLIDADA","PRESENCIAL"
"FONOLOGIA VARIAÇÃO E ENSINO","PLTS0023","TURMA 01","NÃO INFORMADO","2 - 13:00h-17:00 Sala de aula 104C - DID VII","2023","1","08/05/2023","17/06/2023","RAQUEL MEISTER KO FREITAG","2T1234","18","20","18","REGULAR","31/07/2023","CONSOLIDADA","PRESENCIAL"
"TEXTO E ENSINO","PLTS0024","TURMA 01","NÃO INFORMADO","4 - 13:00h-17:00 Sala de aula 108B - DID VII","2023","1","08/05/2023","17/06/2023","ISABEL CRISTINA MICHELAN DE AZEVEDO","4T1234","16","20","16","REGULAR","11/08/2023","CONSOLIDADA","PRESENCIAL"
"ENSINO DA ESCRITA, DIDATIZAÇÃO E AVALIAÇÃO","PLTS0031","TURMA 01","NÃO INFORMADO","3 - 13:00h-17:00 Sala de aula 202 - DID VII","2023","1","08/05/2023","17/06/2023","LEILANE RAMOS DA SILVA","3T1234","8","20","7","REGULAR","21/07/2023","CONSOLIDADA","PRESENCIAL"
"PROPRIEDADE INTELECTUAL (PATENTES, MARCAS, PROGRAMAS DE COMPUTADOR, CULTIVARES E IGS)","PPGP0001","TURMA 01","NÃO INFORMADO","2 - 13:00h-16:00 Sala de aula 104A - DID VII","2023","1","06/03/2023","17/06/2023","SUZANA LEITAO RUSSO, CRISTIANE TONIOLO DIAS, FRANCISCO SANDRO RODRIGUES HOLANDA, MARIO JORGE CAMPOS DOS SANTOS","2T123","19","25","19","REGULAR","18/07/2023","CONSOLIDADA","PRESENCIAL"
"INDICADORES CIENTÍFICOS E TECNOLÓGICOS","PPGP0009","TURMA 01","NÃO INFORMADO","3 - 13:00h-16:00 Sala de aula 104B - DID VII","2023","1","06/03/2023","17/06/2023","FRANCISCO SANDRO RODRIGUES HOLANDA, JOAO ANTONIO BELMINO DOS SANTOS, ANA KARLA DE SOUZA ABUD","3T123","9","12","9","REGULAR","20/07/2023","CONSOLIDADA","PRESENCIAL"
"SEMINÁRIO DE TESE II","PPGP0024","TURMA 01","NÃO INFORMADO","4 - 13:00h-16:00 Sala de aula 108A - DID VII","2023","1","06/03/2023","17/06/2023","IRACEMA MACHADO DE ARAGAO, SUZANA LEITAO RUSSO, FRANCISCO SANDRO RODRIGUES HOLANDA","4T123","11","12","11","REGULAR","17/06/2023","CONSOLIDADA","PRESENCIAL"
"CIÊNCIA E SUA DOCUMENTAÇÃO CIENTÍFICA E TECNOLÓGICA","PPGP0003","TURMA 01","NÃO INFORMADO","4 - 13:00h-16:00 Sala de aula 104B - DID VII","2023","1","06/03/2023","17/06/2023","DANIEL PEREIRA DA SILVA, MARIO JORGE CAMPOS DOS SANTOS","4T123","13","13","13","REGULAR","21/06/2023","CONSOLIDADA","PRESENCIAL"
"PESQUISA TECNOLÓGICA: QUALITATIVA E QUANTITATIVA","PPGP0010","TURMA 01","NÃO INFORMADO","4 - 16:00h-18:00 Sala de aula 104B - DID VII<br />5 - 17:00h-18:00 Sala de aula 103A - DID VII","2023","1","06/03/2023","17/06/2023","CRISTIANE TONIOLO DIAS, SUZANA LEITAO RUSSO, MARIO JORGE CAMPOS DOS SANTOS","4T45 5T5","18","25","18","REGULAR","18/07/2023","CONSOLIDADA","PRESENCIAL"
"GESTÃO DE PROJETOS E EMPREENDEDORISMO","PPGP0011","TURMA 01","NÃO INFORMADO","6 - 13:00h-16:00 Sala de aula 103A - DID VII","2023","1","06/03/2023","17/06/2023","JOSE RICARDO DE SANTANA, ANA KARLA DE SOUZA ABUD, IRACEMA MACHADO DE ARAGAO","6T123","6","13","6","REGULAR","23/06/2023","CONSOLIDADA","PRESENCIAL"
"PROPRIEDADE INTELECTUAL NAS ENGENHARIAS","PPGP0008","TURMA 01","NÃO INFORMADO","6 - 13:00h-16:00 Sala de aula 104A - DID VII","2023","1","06/03/2023","17/06/2023","ANTONIO MARTINS DE OLIVEIRA JUNIOR, GABRIEL FRANCISCO DA SILVA, JONAS PEDRO FABRIS","6T123","10","13","9","REGULAR","13/07/2023","CONSOLIDADA","PRESENCIAL"
"SEMINÁRIO DE PESQUISA I","PPGED0278","TURMA 01","NÃO INFORMADO","2 - 07:00h-11:00 Sala de aula 104B - DID VII","2023","1","06/03/2023","17/06/2023","JOSEFA ELIANA SOUZA","2M1234","2","40","2","REGULAR","26/06/2023","CONSOLIDADA","PRESENCIAL"
"SEMINÁRIO DE PESQUISA II","PPGED0315","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","JOSEFA ELIANA SOUZA","2T1234","2","40","2","REGULAR","26/06/2023","CONSOLIDADA","PRESENCIAL"
"SEMINÁRIO DE PESQUISA I","PPGED0278","TURMA 02","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","VELEIDA ANAHI CAPUA DA SILVA CHARLOT","3M1234","4","40","0","REGULAR",,"EXCLUIDA","PRESENCIAL"
"SEMINÁRIO DE PESQUISA II","PPGED0315","TURMA 02","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","VELEIDA ANAHI CAPUA DA SILVA CHARLOT","3T1234","3","40","1","REGULAR","16/06/2023","CONSOLIDADA","PRESENCIAL"
"CULTURAS DIGITAIS E FORMAÇÃO DOCENTE","PPGED0294","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","PAULO ROBERTO BOA SORTE SILVA","3N1234","15","40","13","REGULAR","06/07/2023","CONSOLIDADA","PRESENCIAL"
"SEMINÁRIO DE PESQUISA I","PPGED0278","TURMA 03","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","SIMONE DE LUCENA FERREIRA","3M1234","3","40","3","REGULAR","03/07/2023","CONSOLIDADA","PRESENCIAL"
"SEMINÁRIO DE PESQUISA II","PPGED0315","TURMA 03","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","PAULO ROBERTO BOA SORTE SILVA","3T2345","7","40","7","REGULAR","03/07/2023","CONSOLIDADA","PRESENCIAL"
"TÓPICOS DE ESTUDOS IV","NPGED0273","TURMA 01","NÃO INFORMADO","3 - 19:00h-23:00 Sala de aula 104A - DID VII","2023","1","06/03/2023","17/06/2023","MICHELE DE FREITAS FARIA DE VASCONCELOS","3N1234","12","40","12","REGULAR","02/07/2023","CONSOLIDADA","PRESENCIAL"
"GÊNERO E EDUCAÇÃO","PPGED0289","TURMA 01","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","ALICE MARIA JUSTA FERREIRA MENDONÇA, MARIA HELENA SANTANA CRUZ, JOSÉ PAULO GOMES BRAZÃO","4M2345","9","40","9","REGULAR","25/07/2023","CONSOLIDADA","PRESENCIAL"
"SEMINÁRIO DE PESQUISA I","PPGED0278","TURMA 04","NÃO INFORMADO","4 - 08:00h-12:00 Sala de aula 107B - DID VII","2023","1","06/03/2023","17/06/2023","LUIZ ANSELMO MENEZES SANTOS","4M2345","5","40","4","REGULAR","15/06/2023","CONSOLIDADA","PRESENCIAL"
"SEMINÁRIO DE PESQUISA II","PPGED0315","TURMA 04","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","ALINE LIMA DE OLIVEIRA NEPOMUCENO","4T2345","9","40","9","REGULAR","21/06/2023","CONSOLIDADA","PRESENCIAL"
"TÓPICOS DE ESTUDOS IV","NPGED0273","TURMA 02","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","MARILENE BATISTA DA CRUZ NASCIMENTO","5T1234","14","40","14","REGULAR","31/07/2023","CONSOLIDADA","PRESENCIAL"
"SEMINÁRIO DE PESQUISA I","PPGED0278","TURMA 05","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","LIVIA DE REZENDE CARDOSO","6M3456","7","40","10","REGULAR","26/07/2023","CONSOLIDADA","PRESENCIAL"
"SEMINÁRIO DE PESQUISA II","PPGED0315","TURMA 05","NÃO INFORMADO","LOCAL A DEFINIR","2023","1","06/03/2023","17/06/2023","ROSANA CARLA DO NASCIMENTO GIVIGI","6M3456","6","40","9","REGULAR","31/07/2023","CONSOLIDADA","PRESENCIAL"
"CONCEITOS FUNDAMENTAIS DE FISIOLOGIA CELULAR E BIOQUÍMICA","FISIO0061","TURMA 01","NÃO INFORMADO","2 - 09:00h-13:00 Sala de aula 107A - DID VII<br />3 - 09:00h-13:00 Sala de aula 107A - DID VII<br />4 - 09:00h-13:00 Sala de aula 107A - DID VII","2023","1","06/03/2023","05/04/2023","ENILTON APARECIDO CAMARGO, CHARLES DOS SANTOS ESTEVAM","234M3456","8","20","8","REGULAR","13/07/2023","CONSOLIDADA","PRESENCIAL"
